"","x"
"1",8
"2",5
"3",7
"4",8
"5",20
"6",0
"7",12
"8",0
"9",1
"10",2
"11",6
"12",0
"13",8
"14",6
"15",10
"16",9
"17",2
"18",21
"19",18
"20",8
"21",8
"22",1
"23",1
"24",2
"25",7
"26",7
"27",2
"28",0
"29",25
"30",0
"31",3
"32",0
"33",2
"34",1
"35",9
"36",39
"37",3
"38",1
"39",20
"40",0
"41",3
"42",1
"43",1
"44",12
"45",12
"46",16
"47",4
"48",7
"49",30
"50",12
"51",0
"52",2
"53",8
"54",15
"55",6
"56",18
"57",24
"58",1
"59",2
"60",3
"61",2
"62",16
"63",0
"64",15
"65",1
"66",11
"67",10
"68",5
"69",1
"70",13
"71",2
"72",1
"73",1
"74",2
"75",28
"76",1
"77",6
"78",1
"79",11
"80",6
"81",7
"82",0
"83",1
"84",6
"85",4
"86",0
"87",0
"88",0
"89",38
"90",22
"91",11
"92",2
"93",4
"94",4
"95",4
"96",19
"97",2
"98",5
"99",1
"100",1
"101",0
"102",15
"103",10
"104",23
"105",4
"106",5
"107",3
"108",2
"109",2
"110",3
"111",5
"112",0
"113",9
"114",1
"115",2
"116",3
"117",8
"118",14
"119",13
"120",3
"121",13
"122",0
"123",6
"124",2
"125",5
"126",11
"127",13
"128",2
"129",0
"130",3
"131",10
"132",1
"133",6
"134",21
"135",0
"136",10
"137",22
"138",6
"139",0
"140",2
"141",12
"142",5
"143",15
"144",14
"145",10
"146",2
"147",29
"148",4
"149",7
"150",2
"151",4
"152",27
"153",0
"154",0
"155",16
"156",16
"157",1
"158",57
"159",5
"160",2
"161",7
"162",3
"163",7
"164",9
"165",1
"166",4
"167",1
"168",0
"169",9
"170",13
"171",5
"172",3
"173",2
"174",0
"175",4
"176",2
"177",0
"178",4
"179",7
"180",3
"181",5
"182",5
"183",0
"184",33
"185",15
"186",3
"187",17
"188",20
"189",0
"190",12
"191",0
"192",0
"193",30
"194",3
"195",9
"196",0
"197",3
"198",4
"199",1
"200",1
"201",2
"202",0
"203",0
"204",0
"205",1
"206",7
"207",1
"208",0
"209",18
"210",1
"211",0
"212",7
"213",0
"214",2
"215",0
"216",17
"217",5
"218",4
"219",0
"220",16
"221",3
"222",17
"223",1
"224",5
"225",8
"226",11
"227",0
"228",15
"229",18
"230",2
"231",11
"232",0
"233",11
"234",3
"235",0
"236",4
"237",0
"238",2
"239",13
"240",10
"241",8
"242",7
"243",0
"244",12
"245",2
"246",10
"247",2
"248",9
"249",19
"250",1
"251",11
"252",9
"253",3
"254",4
"255",2
"256",17
"257",0
"258",13
"259",4
"260",0
"261",3
"262",5
"263",4
"264",13
"265",3
"266",1
"267",0
"268",49
"269",0
"270",0
"271",7
"272",32
"273",3
"274",2
"275",3
"276",0
"277",1
"278",0
"279",3
"280",3
"281",9
"282",17
"283",0
"284",28
"285",7
"286",8
"287",5
"288",0
"289",2
"290",5
"291",34
"292",9
"293",1
"294",0
"295",6
"296",23
"297",1
"298",4
"299",11
"300",0
"301",2
"302",4
"303",5
"304",3
"305",0
"306",13
"307",16
"308",10
"309",3
"310",6
"311",0
"312",7
"313",21
"314",0
"315",4
"316",7
"317",7
"318",21
"319",1
"320",3
"321",14
"322",0
"323",5
"324",0
"325",0
"326",0
"327",2
"328",8
"329",5
"330",5
"331",17
"332",12
"333",3
"334",17
"335",0
"336",20
"337",0
"338",3
"339",4
"340",1
"341",6
"342",3
"343",3
"344",15
"345",16
"346",2
"347",3
"348",3
"349",19
"350",7
"351",14
"352",4
"353",12
"354",4
"355",2
"356",9
"357",1
"358",5
"359",2
"360",11
"361",0
"362",6
"363",0
"364",13
"365",5
"366",5
"367",6
"368",11
"369",6
"370",1
"371",0
"372",12
"373",5
"374",6
"375",1
"376",3
"377",7
"378",0
"379",4
"380",55
"381",7
"382",0
"383",0
"384",4
"385",0
"386",6
"387",4
"388",6
"389",9
"390",4
"391",3
"392",9
"393",0
"394",4
"395",14
"396",0
"397",1
"398",20
"399",3
"400",5
"401",1
"402",1
"403",1
"404",0
"405",3
"406",10
"407",2
"408",2
"409",15
"410",4
"411",2
"412",0
"413",7
"414",0
"415",7
"416",0
"417",3
"418",13
"419",0
"420",10
"421",3
"422",10
"423",3
"424",2
"425",3
"426",10
"427",4
"428",1
"429",25
"430",0
"431",0
"432",34
"433",1
"434",1
"435",28
"436",1
"437",10
"438",6
"439",0
"440",3
"441",0
"442",0
"443",22
"444",10
"445",2
"446",29
"447",1
"448",13
"449",1
"450",0
"451",1
"452",23
"453",2
"454",7
"455",4
"456",2
"457",5
"458",2
"459",6
"460",1
"461",1
"462",1
"463",13
"464",8
"465",2
"466",0
"467",28
"468",17
"469",2
